NAME,Current,Real,Real Tax
MMM,174,72.92,52.5
ABT,83.12,34.78,25.04
ABBV,82.08,70.05,50.43
ABMD,not Found
ACN,189.23,103.59,74.58
ATVI,56.36,23.91,17.22
ADBE,287.4,120.09,86.46
AMD,not Found
AAP,169.7,64.51,46.45
AES,17.68,11.65,8.39
AMG,85.77,152.13,109.53
AFL,53.7,31.34,22.56
A,75.79,26.66,19.19
APD,218.85,75.68,54.49
AKAM,87.4,21.12,15.21
ALK,not Found
ALB,66.72,69.23,49.84
ARE,not Found
ALXN,106.63,77.87,56.07
ALGN,not Found
ALLE,not Found
AGN,178.55,-14862.11,-10700.72
ADS,103.65,237.45,170.96
LNT,51.9,29.57,21.29
ALL,106.95,31.15,22.43
GOOGL,1291.01,943.31,679.18
GOOG,not Found
MO,45.91,nan,nan
AMZN,1795.77,-523.79,-377.13
AMCR,not Found
AEE,75.56,54.4,39.17
AAL,30.96,90.24,64.97
AEP,91.28,70.51,50.77
AXP,119.69,108.72,78.28
AIG,55.52,4.85,3.49
AMT,not Found
AWK,121.59,52.67,37.92
AMP,157.87,158.09,113.82
ABC,84.71,61.09,43.99
AME,96.37,43.08,31.02
AMGN,216.4,130.2,93.74
APH,102.89,67.55,48.64
ADI,not Found
ANSS,not Found
ANTM,277.32,119.35,85.93
AON,194.74,66.68,48.01
AOS,52.03,35.97,25.9
APA,23.62,187.45,134.96
AIV,53.55,53.79,38.73
AAPL,256.47,102.73,73.97
AMAT,55.82,89.16,64.2
APTV,95.58,61.98,44.62
ADM,42.88,nan,nan
ARNC,not Found
ANET,190.43,273.67,197.04
AJG,91.64,nan,nan
AIZ,127.55,95.5,68.76
ATO,108.77,60.32,43.43
T,39.25,56.54,40.71
ADSK,not Found
ADP,159.66,66.92,48.18
AZO,1161.48,558.8,402.34
AVB,212.29,104.75,75.42
AVY,132.02,87.76,63.18
BKR,not Found
BLL,66.66,27.85,20.06
BAC,32.79,39.99,28.8
BK,49.13,51.2,36.87
BAX,78.37,63.3,45.58
BBT,54.8,47.78,34.4
BDX,250.79,52.1,37.52
BRK.B,not Found
BBY,75.05,58.32,41.99
BIIB,289,-45971.01,-33099.13
BLK,489.54,324.08,233.34
HRB,not Found
BA,352.135,124.79,89.85
BKNG,2012.09,1234.92,889.14
BWA,44.82,23543.5,16951.32
BXP,137.92,59.43,42.79
BSX,40.72,3.89,2.8
BMY,56.96,47.83,34.44
AVGO,313.16,216.38,155.79
BR,not Found
BF.B,not Found
CHRW,78.61,76.23,54.89
COG,18.38,134.9,97.13
CDNS,not Found
CPB,46.6,17.19,12.38
COF,97.04,167.12,120.33
CPRI,33.78,13.65,9.83
CAH,51.43,52.37,37.71
KMX,94.27,57.13,41.13
CCL,44.37,63.33,45.6
CAT,145.49,321.81,231.7
CBOE,114.45,1797.17,1293.96
CBRE,53.08,139.94,100.76
CBS,36.82,57.01,41.04
CDW,not Found
CE,125.08,95.57,68.81
CELG,108.24,8.67,6.24
CNC,50.83,3.85,2.77
CNP,28.77,18.72,13.48
CTL,13.36,20.67,14.88
CERN,66.97,11.36,8.18
CF,46.39,4.78,3.44
SCHW,42.91,57.67,41.52
CHTR,469.03,313.77,225.92
CVX,119.9,330.84,238.21
CMG,744.31,126.98,91.42
CB,152.18,142.49,102.59
CHD,67.51,28.19,20.3
CI,183.13,nan,nan
XEC,45.93,-12862.66,-9261.11
CINF,110.89,28.6,20.59
CTAS,262.4,96.56,69.52
CSCO,48.27,27.53,19.82
C,74.42,80.18,57.73
CFG,37.68,59.86,43.1
CTXS,not Found
CLX,148.65,nan,nan
CME,198.59,85.0,61.2
CMS,61.36,51.83,37.32
KO,52.8,10.55,7.6
CTSH,62.26,62.69,45.14
CL,66.52,24.28,17.48
CMCSA,44.22,58.48,42.11
CMA,70.35,148.82,107.15
CAG,27.84,23.33,16.79
CXO,71.535,-1336.94,-962.6
COP,57.63,108.71,78.27
ED,88.62,56.1,40.39
STZ,192.46,127.31,91.67
COO,291.49,84.78,61.04
CPRT,not Found
GLW,29.84,27.26,19.62
CTVA,not Found
COST,301.57,117.51,84.61
COTY,13.02,-13.15,-9.47
CCI,133.91,36.45,26.24
CSX,73.64,49.29,35.49
CMI,181.39,241.84,174.12
CVS,70.93,34.45,24.81
DHI,52.05,63.78,45.92
DHR,134.86,41.44,29.84
DRI,112.79,81.3,58.54
DVA,70.51,93.48,67.31
DE,175.97,-621054464502542.4,-447159214441830.44
DAL,57.58,124.8,89.86
XRAY,55.59,-12.14,-8.74
DVN,22.08,84.08,60.54
FANG,not Found
DLR,122.7,-900.53,-648.38
DFS,83.18,77.18,55.57
DISCA,not Found
DISCK,not Found
DISH,33.52,37.5,27.0
DG,159.61,71.7,51.62
DLTR,112.79,25.16,18.12
D,80.94,51.13,36.81
DOV,109.46,49.09,35.35
DOW,not Found
DTE,123.9,145.25,104.58
DUK,93.36,nan,nan
DRE,not Found
DD,70.33,162.37,116.91
DXC,29.06,13.18,9.49
ETFC,43.29,83.68,60.25
EMN,81.09,86.2,62.07
ETN,91.2,62.19,44.78
EBAY,35.5,26.73,19.24
ECL,192.96,66.37,47.79
EIX,65.67,29.78,21.44
EW,235.22,nan,nan
EA,98.67,14.72,10.6
EMR,73.6,41.88,30.15
ETR,116.35,-10.19,-7.33
EOG,71.42,375.63,270.46
EFX,135.18,33.21,23.91
EQIX,not Found
EQR,85.58,65.3,47.01
ESS,317.95,106.47,76.66
EL,187.06,90.39,65.08
EVRG,not Found
ES,81.39,72.31,52.07
RE,261.68,196.24,141.29
EXC,44.82,48.48,34.91
EXPE,135.36,80.93,58.27
EXPD,not Found
EXR,not Found
XOM,71.49,212.07,152.69
FFIV,not Found
FB,191.55,339.16,244.19
FAST,37.15,20.54,14.79
FRT,134.49,57.74,41.57
FDX,163.17,197.97,142.54
FIS,130.89,13.26,9.55
FITB,30.43,37.23,26.81
FE,47.11,13.99,10.07
FRC,109.6,71.53,51.5
FISV,104.91,14.12,10.17
FLT,294.07,151.68,109.21
FLIR,not Found
FLS,49.58,15.64,11.26
FMC,97.52,29.17,21.0
F,8.92,19.22,13.84
FTNT,93.11,31.52,22.7
FTV,73.19,14.53,10.46
FBHS,not Found
FOXA,33.1,39.92,28.74
FOX,not Found
BEN,28.56,18.84,13.56
FCX,10.64,948383.75,682836.3
GPS,17.73,9.09,6.54
GRMN,93.22,31.31,22.55
IT,158.42,20.96,15.09
GD,181.57,151.05,108.75
GE,11.02,3.32,2.39
GIS,52.47,37.18,26.77
GM,38.42,73.28,52.77
GPC,107.74,-0.79,-0.57
GILD,65.41,7.68,5.53
GL,98.52,64.02,46.09
GPN,167.06,1.59,1.14
GS,218.42,349.16,251.4
GWW,319.82,262.85,189.25
HAL,20.6,-78.34,-56.41
HBI,15.89,10.49,7.55
HOG,38.54,31.03,22.34
HIG,61.08,nan,nan
HAS,94.86,22.5,16.2
HCA,134.87,171.38,123.39
PEAK,not Found
HP,39.79,-104.34,-75.13
HSIC,68.6,59.26,42.66
HSY,140.82,51.14,36.82
HES,68.66,-47679534.06,-34329264.52
HPE,16.94,-1.5401193504071716e+16,-1.1088859322931636e+16
HLT,99.42,27.35,19.69
HFC,53.42,78.38,56.43
HOLX,48.56,15.81,11.38
HD,234.01,136.82,98.51
HON,180.81,90.84,65.41
HRL,41.6,15.44,11.12
HST,not Found
HPQ,19.57,27.3,19.66
HUM,304.94,145.71,104.91
HBAN,14.91,18.59,13.39
HII,not Found
IEX,159.66,71.0,51.12
IDXX,not Found
INFO,69.36,6290938386.66,4529475638.39
ITW,177.55,104.97,75.58
ILMN,297.25,103.19,74.3
IR,131.45,74.49,53.63
INTC,57.6,67.41,48.54
ICE,91.11,53.73,38.68
IBM,137.16,104.65,75.35
INCY,83.68,16.21,11.67
IP,45.4,45.59,32.82
IPG,22.36,30.21,21.75
IFF,133.01,74.48,53.63
INTU,253.42,90.9,65.45
ISRG,554.16,115.03,82.82
IVZ,18.04,23.52,16.93
IPGP,not Found
IQV,138.04,104.34,75.12
IRM,not Found
JKHY,not Found
JEC,96.94,-29.7,-21.38
JBHT,119.66,117.49,84.6
SJM,108.33,-5112320.88,-3680871.03
JNJ,130.96,74.2,53.43
JCI,44.23,52.92,38.11
JPM,129.3,128.85,92.77
JNPR,25.96,8.31,5.98
KSU,151.4,101.51,73.08
K,64.41,41.24,29.7
KEY,19.13,33.96,24.45
KEYS,103.38,5.34,3.84
KMB,131.72,49.74,35.81
KIM,not Found
KMI,20.21,10.8,7.77
KLAC,not Found
KSS,54.39,47.89,34.48
KHC,33.14,-1.42,-1.02
KR,27,48.23,34.72
LB,17.95,25.85,18.61
LHX,not Found
LH,165.27,nan,nan
LRCX,not Found
LW,not Found
LVS,63.15,50.13,36.09
LEG,54.54,37.17,26.76
LDOS,85.13,-0.82,-0.59
LEN,59.22,280.22,201.76
LLY,113.82,55.99,40.31
LNC,60.36,105.64,76.06
LIN,not Found
LKQ,35.41,45.68,32.89
LMT,379.79,187.31,134.86
L,50.87,nan,nan
LOW,112.67,68.4,49.25
LYB,97.06,205.21,147.75
MTB,166.25,208.41,150.06
MAC,28.28,28.94,20.84
M,15.97,12.6,9.07
MRO,12.18,85.59,61.63
MPC,64.28,138.74,99.89
MKTX,not Found
MAR,132.58,82.06,59.09
MMC,103.45,46.58,33.54
MLM,256.6,83.2,59.9
MAS,46.11,34.12,24.56
MA,269.86,110.69,79.7
MKC,159.32,55.09,39.66
MXIM,not Found
MCD,194.18,46.8,33.7
MCK,135.65,147.26,106.03
MDT,106.87,-9.5,-6.84
MRK,83.25,12.21,8.79
MET,48.6,74.49,53.63
MTD,not Found
MGM,30.52,13.9,10.0
MCHP,95.62,73.15,52.67
MU,not Found
MSFT,144.06,69.4,49.97
MAA,136.41,83.09,59.83
MHK,150.17,150.51,108.36
TAP,not Found
MDLZ,52.22,20.33,14.64
MNST,55.99,25.16,18.11
MCO,215.8,87.62,63.09
MS,48.56,66.12,47.61
MOS,20.68,20.63,14.85
MSI,158.6,78.34,56.4
MSCI,241.28,84.57,60.89
MYL,17.17,11.12,8.01
NDAQ,99.92,53.92,38.83
NOV,23.63,-0.46,-0.33
NTAP,not Found
NFLX,288.59,-4.7,-3.38
NWL,20.13,-23.97,-17.26
NEM,37.65,9.95,7.16
NWSA,13.55,-14.44,-10.4
NWS,not Found
NEE,227.49,121.98,87.83
NLSN,20.09,12.27,8.84
NKE,89.48,26.17,18.84
NI,27.09,-0.65,-0.47
NBL,20.9,-70.78,-50.97
JWN,36.73,16.2,11.66
NSC,192.96,139.9,100.73
NTRS,106.01,100.61,72.44
NOC,344.02,139.7,100.58
NLOK,not Found
NCLH,52.06,52.08,37.5
NRG,39.58,nan,nan
NUE,55.14,72.66,52.31
NVDA,207.63,144.51,104.05
NVR,3515,2814.02,2026.09
ORLY,440.83,220.52,158.77
OXY,39.61,283.66,204.23
OMC,78.71,67.65,48.71
OKE,70.76,53.45,38.48
ORCL,55.7,34.0,24.48
PCAR,79.68,89.28,64.28
PKG,112.36,90.24,64.97
PH,198.29,147.27,106.03
PAYX,not Found
PYPL,100.63,-11.03,-7.94
PNR,42.93,12.52,9.02
PBCT,16.76,15.64,11.26
PEP,134.44,50.18,36.13
PKI,86.05,18.89,13.6
PRGO,50.51,-27.59,-19.87
PFE,37.25,23.2,16.71
PM,83.7,55.61,40.04
PSX,118.42,1232.92,887.7
PNW,91.17,94.74,68.21
PXD,133.57,-2202.95,-1586.12
PNC,151.71,139.71,100.59
PPG,129.77,87.96,63.33
PPL,33.31,39.44,28.4
PFG,56.31,62.96,45.33
PG,120.32,36.82,26.51
PGR,70.93,52.4,37.73
PLD,not Found
PRU,90.55,170.95,123.08
PEG,61.93,37.82,27.23
PSA,214.49,93.13,67.05
PHM,38.83,39507.4,28445.33
PVH,93.2,49.3,35.5
QRVO,not Found
PWR,43.33,55.08,39.66
QCOM,84.63,16.57,11.93
DGX,101.11,76.4,55.01
RL,100.88,20.44,14.72
RJF,88.33,112.44,80.96
RTN,215.33,47.58,34.25
O,78.8,21.08,15.18
REG,not Found
REGN,not Found
RF,17.06,19.52,14.06
RSG,86.13,49.82,35.87
RMD,143.25,51.94,37.4
RHI,58.23,37.0,26.64
ROK,178.42,95.58,68.82
ROL,not Found
ROP,not Found
ROST,112.26,52.36,37.7
RCL,112.78,94.51,68.04
CRM,not Found
SBAC,not Found
SLB,35.56,0.7,0.5
STX,57.84,30.08,21.66
SEE,38.73,25.68,18.49
SRE,143.22,86.33,62.16
SHW,575.24,-463221.97,-333519.82
SPG,155.08,93.09,67.02
SWKS,not Found
SLG,84.63,21.67,15.6
SNA,166.81,137.3,98.85
SO,61.85,9.2,6.62
LUV,57.86,69.19,49.82
SPGI,253.39,113.93,82.03
SWK,159.24,104.0,74.88
SBUX,82.99,57.27,41.23
STT,70.99,83.38,60.03
SYK,201.01,78.37,56.43
STI,70.71,72.54,52.23
SIVB,not Found
SYF,36.82,43.23,31.13
SNPS,not Found
SYY,81.06,34.23,24.65
TMUS,81.86,80.57,58.01
TROW,120.06,nan,nan
TTWO,not Found
TPR,25.93,20.35,14.65
TGT,110.51,77.46,55.77
TEL,93.94,nan,nan
FTI,not Found
TFX,334.95,31.36,22.58
TXN,120.36,nan,nan
TXT,46.93,40.72,29.32
TMO,294.57,nan,nan
TIF,124.69,26.99,19.43
TWTR,29.54,6.75,4.86
TJX,58.83,29.96,21.57
TSCO,95.93,58.57,42.17
TDG,536.42,188.12,135.44
TRV,132.35,147.3,106.06
TRIP,40.79,21.45,15.44
TSN,83.47,45.13,32.49
UDR,not Found
ULTA,243.99,179.79,129.45
USB,58.76,43.46,31.29
UAA,18.17,-0.73,-0.53
UA,not Found
UNP,176.34,119.92,86.34
UAL,93.34,180.74,130.13
UNH,250.52,209.52,150.86
UPS,121.95,100.76,72.55
URI,147.14,267.13,192.33
UTX,148.31,117.54,84.63
UHS,139.92,161.46,116.25
UNM,29.49,45.32,32.63
VFC,86.11,36.92,26.58
VLO,100.35,253.3,182.38
VAR,not Found
VTR,not Found
VRSN,not Found
VRSK,140.78,59.79,43.05
VZ,60.13,69.8,50.25
VRTX,195.97,-46.78,-33.68
VIAB,22.01,35.49,25.55
V,176.77,72.53,52.22
VNO,65.26,34.23,24.65
VMC,138.12,47.13,33.93
WAB,77.92,31.72,22.84
WMT,119.5,45.32,32.63
WBA,59.49,94.73,68.21
DIS,131.27,91.7,66.02
WM,109.93,59.62,42.93
WAT,not Found
WEC,91.21,58.9,42.41
WCG,not Found
WFC,53.29,33.66,24.24
WELL,not Found
WDC,53.72,-0.31,-0.22
WU,27.47,11.18,8.05
WRK,39.24,44.8,32.25
WY,29.54,-305.41,-219.89
WHR,156.46,73.45,52.89
WMB,22.24,-7.29,-5.25
WLTW,186.67,85.01,61.21
WYNN,122.56,41.59,29.94
XEL,61.26,39.25,28.26
XRX,37.66,22.2,15.98
XLNX,not Found
XYL,78.2,36.96,26.61
YUM,100.09,35.07,25.25
ZBH,143.22,7.93,5.71
ZION,50.37,95.01,68.41
ZTS,121.47,31.36,22.58
